qid,query_en,query_de
3, book stack, stapel aus büchern
4, math symbols, mathe symbole
6, pencil case, stifteetui
7, computer monitor, computerbildschirm
8, backpack, rucksack
9, science experiment, wissenschaftsexperiment
10, sponge, schwamm
12, art palette, kunstpalette
14, crayon box, wachsmalstifte
15, ruler and protractor, lineal und winkelmesser
16, magnifying glass, lupe
18, lunchbox, brotdose
19, map of the world, weltkarte
23, microscope, mikroskop
28, graduation cap, abschlussmütze
29, paper plane, papierflugzeug
30, glue bottle, kleberflasche
32, recycling bin, mülltonne
34, soccer ball, fußball
35, desk chair, schreibtischstuhl
38, computer mouse, computermaus
40, weather symbols, wettersymbole
41, school bell, schulglocke
43, test tube, reagenzglas
47, paint palette, malpalette
49, clipboard, klemmbrett
50, music notes, musiknoten
53, watering can, gießkanne
60, compass, kompass
62, graduation diploma, abschlussdiplom
67, puzzle pieces, puzzlestücke
78, paintbrush and palette, pinsel und palette
86, construction tools, bauwerkzeuge
101, blue scissors, blaue schere
103, paintbrush with green color on it, pinsel mit grüner farbe
104, red apple, roter apfel
